Year,Country
1952,Democratic People's Republic of Korea
1952,Republic of Korea
1953,Democratic People's Republic of Korea
1953,Republic of Korea
1956,China
1959,China
1950,Indonesia
1950,United States
1951,Egypt
1952,Egypt
1951,Thailand
1974,Thailand
1975,Thailand
1976,Thailand
1979,Thailand
1980,Thailand
1981,Thailand
1982,Thailand
1952,Kenya
1953,Kenya
1954,Kenya
1955,Kenya
1956,Kenya
1953,Cuba
1957,Cuba
1958,Cuba
1961,Cuba
1953,Indonesia
1958,Indonesia
1959,Indonesia
1960,Indonesia
1961,Indonesia
1953,Morocco
1954,Morocco
1955,Morocco
1956,Morocco
1953,Tunisia
1954,Tunisia
1955,Tunisia
1956,Tunisia
1954,Algeria
1955,Algeria
1956,Algeria
1957,Algeria
1958,Algeria
1959,Algeria
1960,Algeria
1961,Algeria
1962,Algeria
1955,Argentina
1963,Argentina
1973,Argentina
1974,Argentina
1975,Argentina
1976,Argentina
1977,Argentina
1955,Cyprus
1956,Cyprus
1957,Cyprus
1958,Cyprus
1959,Cyprus
1955,Viet Nam
1956,Viet Nam
1957,Viet Nam
1958,Viet Nam
1959,Viet Nam
1960,Viet Nam
1961,Viet Nam
1962,Viet Nam
1963,Viet Nam
1964,Viet Nam
1956,Hungary
1956,India
1957,India
1958,India
1959,India
1961,India
1962,India
1963,India
1995,India
1956,Egypt
1957,Cameroon
1958,Cameroon
1959,Cameroon
1960,Cameroon
1957,Honduras
1957,Nicaragua
1957,Morocco
1958,Morocco
1957,Oman
1958,Iraq
1959,Iraq
1963,Iraq
1982,Iraq
1983,Iraq
1984,Iraq
1987,Iraq
1991,Iraq
1992,Iraq
1993,Iraq
1994,Iraq
1995,Iraq
1996,Iraq
2005,Iraq
2004,Iraq
1958,Lebanon
1975,Lebanon
1976,Lebanon
1977,Lebanon
1978,Lebanon
1979,Lebanon
1980,Lebanon
1981,Lebanon
1982,Lebanon
1983,Lebanon
1984,Lebanon
1985,Lebanon
1986,Lebanon
1987,Lebanon
1988,Lebanon
1989,Lebanon
1990,Lebanon
1958,Malaysia
1959,Malaysia
1960,Malaysia
1974,Malaysia
1975,Malaysia
1981,Malaysia
1959,Lao People's Democratic Republic
1960,Lao People's Democratic Republic
1961,Lao People's Democratic Republic
1963,Lao People's Democratic Republic
1964,Lao People's Democratic Republic
1965,Lao People's Democratic Republic
1966,Lao People's Democratic Republic
1967,Lao People's Democratic Republic
1968,Lao People's Democratic Republic
1969,Lao People's Democratic Republic
1970,Lao People's Democratic Republic
1971,Lao People's Democratic Republic
1972,Lao People's Democratic Republic
1973,Lao People's Democratic Republic
1989,Lao People's Democratic Republic
1990,Lao People's Democratic Republic
1961,Angola
1962,Angola
1963,Angola
1964,Angola
1965,Angola
1966,Angola
1967,Angola
1968,Angola
1969,Angola
1970,Angola
1971,Angola
1972,Angola
1973,Angola
1974,Angola
1993,Myanmar
1960,Democratic Republic of the Congo
1961,Democratic Republic of the Congo
1962,Democratic Republic of the Congo
1960,Ethiopia
1976,Ethiopia
1977,Ethiopia
1978,Ethiopia
1979,Ethiopia
1980,Ethiopia
1981,Ethiopia
1982,Ethiopia
1983,Ethiopia
1984,Ethiopia
1985,Ethiopia
1986,Ethiopia
1987,Ethiopia
1988,Ethiopia
1989,Ethiopia
1990,Ethiopia
1991,Ethiopia
1964,Ethiopia
1964,Somalia
1973,Ethiopia
1960,Nepal
1961,Nepal
1962,Nepal
1996,Nepal
1997,Nepal
1998,Nepal
1999,Nepal
2000,Nepal
2001,Nepal
2002,Nepal
2003,Nepal
2005,Nepal
2004,Nepal
1961,France
1962,France
1961,Iraq
1962,Iraq
1964,Iraq
1965,Iraq
1966,Iraq
1967,Iraq
1968,Iraq
1969,Iraq
1970,Iraq
1973,Iraq
1974,Iraq
1975,Iraq
1976,Iraq
1977,Iraq
1978,Iraq
1979,Iraq
1980,Iraq
1981,Iraq
1985,Iraq
1986,Iraq
1988,Iraq
1989,Iraq
1990,Iraq
1961,Tunisia
1962,Brunei Darussalam
1967,China
1962,Ethiopia
1963,Ethiopia
1965,Ethiopia
1966,Ethiopia
1967,Ethiopia
1968,Ethiopia
1969,Ethiopia
1970,Ethiopia
1971,Ethiopia
1972,Ethiopia
1974,Ethiopia
1975,Ethiopia
1962,Indonesia
1962,Venezuela (Bolivarian Republic of)
1992,Venezuela (Bolivarian Republic of)
1963,Algeria
1963,Morocco
1963,Guinea-Bissau
1964,Guinea-Bissau
1965,Guinea-Bissau
1966,Guinea-Bissau
1967,Guinea-Bissau
1968,Guinea-Bissau
1969,Guinea-Bissau
1970,Guinea-Bissau
1971,Guinea-Bissau
1972,Guinea-Bissau
1973,Guinea-Bissau
1963,Malaysia
1964,Malaysia
1965,Malaysia
1966,Malaysia
1963,Indonesia
1964,Indonesia
1965,Indonesia
1966,Indonesia
1963,Sudan
1964,Sudan
1965,Sudan
1966,Sudan
1967,Sudan
1968,Sudan
1969,Sudan
1970,Sudan
1971,Sudan
1972,Sudan
1983,Sudan
1984,Sudan
1985,Sudan
1986,Sudan
1987,Sudan
1988,Sudan
1989,Sudan
1990,Sudan
1991,Sudan
1992,Sudan
1993,Sudan
1994,Sudan
1995,Sudan
1996,Sudan
1997,Sudan
1998,Sudan
1999,Sudan
2000,Sudan
2001,Sudan
2002,Sudan
2003,Sudan
2004,Sudan
1964,Democratic Republic of the Congo
1965,Democratic Republic of the Congo
1967,Democratic Republic of the Congo
1977,Democratic Republic of the Congo
1978,Democratic Republic of the Congo
1996,Democratic Republic of the Congo
1997,Democratic Republic of the Congo
1998,Democratic Republic of the Congo
1999,Democratic Republic of the Congo
2000,Democratic Republic of the Congo
2001,Democratic Republic of the Congo
1964,Gabon
1964,Mozambique
1965,Mozambique
1966,Mozambique
1967,Mozambique
1968,Mozambique
1969,Mozambique
1970,Mozambique
1971,Mozambique
1972,Mozambique
1973,Mozambique
1974,Mozambique
1965,Burundi
1991,Burundi
1992,Burundi
1994,Burundi
1995,Burundi
1996,Burundi
1997,Burundi
1998,Burundi
1999,Burundi
2000,Burundi
2001,Burundi
2002,Burundi
2003,Burundi
2004,Burundi
2005,Burundi
2005,Chad
1965,Chad
1966,Chad
1967,Chad
1968,Chad
1969,Chad
1970,Chad
1971,Chad
1972,Chad
1973,Chad
1974,Chad
1975,Chad
1976,Chad
1977,Chad
1978,Chad
1979,Chad
1980,Chad
1981,Chad
1982,Chad
1983,Chad
1984,Chad
1985,Chad
1986,Chad
1987,Chad
1988,Chad
1989,Chad
1990,Chad
1991,Chad
1992,Chad
1993,Chad
1994,Chad
1997,Chad
1998,Chad
1999,Chad
2000,Chad
2001,Chad
2002,Chad
1966,Colombia
1967,Colombia
1968,Colombia
1969,Colombia
1970,Colombia
1971,Colombia
1972,Colombia
1973,Colombia
1974,Colombia
1975,Colombia
1976,Colombia
1977,Colombia
1978,Colombia
1979,Colombia
1980,Colombia
1981,Colombia
1982,Colombia
1983,Colombia
1984,Colombia
1985,Colombia
1986,Colombia
1987,Colombia
1988,Colombia
1989,Colombia
1990,Colombia
1991,Colombia
1992,Colombia
1993,Colombia
1994,Colombia
1995,Colombia
1996,Colombia
1997,Colombia
1998,Colombia
1999,Colombia
2000,Colombia
2001,Colombia
2002,Colombia
2003,Colombia
2005,Colombia
2004,Colombia
1965,Dominican Republic
1976,Indonesia
1977,Indonesia
1978,Indonesia
1967,Indonesia
1969,Indonesia
1968,Indonesia
1965,Peru
1966,Peru
1981,Peru
1982,Peru
1983,Peru
1984,Peru
1985,Peru
1986,Peru
1987,Peru
1988,Peru
1989,Peru
1990,Peru
1991,Peru
1992,Peru
1993,Peru
1994,Peru
1995,Peru
1996,Peru
1997,Peru
1998,Peru
1999,Peru
1965,Viet Nam
1966,Viet Nam
1967,Viet Nam
1968,Viet Nam
1969,Viet Nam
1970,Viet Nam
1971,Viet Nam
1986,South Africa
1987,South Africa
1988,South Africa
1966,Syrian Arab Republic
1979,Syrian Arab Republic
1980,Syrian Arab Republic
1981,Syrian Arab Republic
1982,Syrian Arab Republic
1967,Cambodia
1968,Cambodia
1969,Cambodia
1970,Cambodia
1971,Cambodia
1972,Cambodia
1973,Cambodia
1974,Cambodia
1975,Cambodia
1979,Cambodia
1980,Cambodia
1981,Cambodia
1982,Cambodia
1983,Cambodia
1984,Cambodia
1985,Cambodia
1986,Cambodia
1987,Cambodia
1988,Cambodia
1989,Cambodia
1990,Cambodia
1991,Cambodia
1992,Cambodia
1993,Cambodia
1994,Cambodia
1995,Cambodia
1996,Cambodia
1997,Cambodia
1998,Cambodia
1967,Egypt
1969,Egypt
1970,Egypt
1973,Egypt
1967,Jordan
1967,Syrian Arab Republic
1973,Syrian Arab Republic
1967,Nigeria
1968,Nigeria
1969,Nigeria
1970,Nigeria
1969,China
1969,Russian Federation
1969,El Salvador
1969,Honduras
1970,Guinea
2000,Guinea
2001,Guinea
1996,Philippines
1998,Philippines
2005,Sudan
1976,Sudan
1971,Madagascar
1971,Morocco
1971,Sri Lanka
1989,Sri Lanka
1990,Sri Lanka
1971,Uganda
1972,Uganda
1977,Uganda
1978,Uganda
1979,Uganda
1981,Uganda
1982,Uganda
1983,Uganda
1984,Uganda
1985,Uganda
1986,Uganda
1987,Uganda
1988,Uganda
1989,Uganda
1990,Uganda
1991,Uganda
1994,Uganda
1995,Uganda
1996,Uganda
1997,Uganda
1998,Uganda
1999,Uganda
2000,Uganda
2001,Uganda
2002,Uganda
2003,Uganda
2004,Uganda
2005,Uganda
1971,United Kingdom
1972,United Kingdom
1973,United Kingdom
1974,United Kingdom
1975,United Kingdom
1976,United Kingdom
1977,United Kingdom
1978,United Kingdom
1979,United Kingdom
1980,United Kingdom
1981,United Kingdom
1982,United Kingdom
1983,United Kingdom
1984,United Kingdom
1985,United Kingdom
1986,United Kingdom
1987,United Kingdom
1988,United Kingdom
1989,United Kingdom
1990,United Kingdom
1991,United Kingdom
1998,United Kingdom
1972,El Salvador
1979,El Salvador
1980,El Salvador
1981,El Salvador
1982,El Salvador
1983,El Salvador
1984,El Salvador
1985,El Salvador
1986,El Salvador
1987,El Salvador
1988,El Salvador
1989,El Salvador
1990,El Salvador
1991,El Salvador
1972,Oman
1973,Oman
1974,Oman
1975,Oman
1972,Zimbabwe
1973,Zimbabwe
1974,Zimbabwe
1975,Zimbabwe
1976,Zimbabwe
1977,Zimbabwe
1978,Zimbabwe
1979,Zimbabwe
1972,Uruguay
1972,Yemen
1978,Yemen
1979,Yemen
1973,Chile
1974,Bangladesh
1975,Bangladesh
1976,Bangladesh
1977,Bangladesh
1978,Bangladesh
1979,Bangladesh
1980,Bangladesh
1981,Bangladesh
1982,Bangladesh
1983,Bangladesh
1984,Bangladesh
1985,Bangladesh
1986,Bangladesh
1987,Bangladesh
1988,Bangladesh
1989,Bangladesh
1990,Bangladesh
1991,Bangladesh
1992,Bangladesh
1974,Cyprus
1974,Iran (Islamic Republic of)
1974,Pakistan
1975,Pakistan
1976,Pakistan
1977,Pakistan
1997,Eritrea
1999,Eritrea
2003,Eritrea
1975,Angola
1976,Angola
1977,Angola
1978,Angola
1979,Angola
1980,Angola
1981,Angola
1982,Angola
1983,Angola
1984,Angola
1985,Angola
1986,Angola
1987,Angola
1988,Angola
1989,Angola
1990,Angola
1991,Angola
1992,Angola
1993,Angola
1994,Angola
1995,Angola
1998,Angola
1999,Angola
2000,Angola
2001,Angola
2002,Angola
1976,Cambodia
1976,Viet Nam
1977,Viet Nam
1996,Ethiopia
1998,Ethiopia
1999,Ethiopia
2000,Ethiopia
2001,Ethiopia
2002,Ethiopia
2005,Ethiopia
2004,Ethiopia
1975,Indonesia
1979,Indonesia
1980,Indonesia
1981,Indonesia
1982,Indonesia
1983,Indonesia
1984,Indonesia
1985,Indonesia
1986,Indonesia
1987,Indonesia
1988,Indonesia
1989,Indonesia
1992,Indonesia
1997,Indonesia
1998,Indonesia
1975,Morocco
1976,Morocco
1977,Morocco
1978,Morocco
1979,Morocco
1980,Morocco
1981,Morocco
1982,Morocco
1983,Morocco
1984,Morocco
1985,Morocco
1986,Morocco
1987,Morocco
1988,Morocco
1989,Morocco
1977,Mozambique
1978,Mozambique
1979,Mozambique
1980,Mozambique
1981,Mozambique
1982,Mozambique
1983,Mozambique
1984,Mozambique
1985,Mozambique
1986,Mozambique
1987,Mozambique
1988,Mozambique
1989,Mozambique
1990,Mozambique
1991,Mozambique
1992,Mozambique
1978,Afghanistan
1979,Afghanistan
1980,Afghanistan
1981,Afghanistan
1982,Afghanistan
1983,Afghanistan
1984,Afghanistan
1985,Afghanistan
1986,Afghanistan
1987,Afghanistan
1988,Afghanistan
1989,Afghanistan
1990,Afghanistan
1991,Afghanistan
1992,Afghanistan
1993,Afghanistan
1994,Afghanistan
1995,Afghanistan
1996,Afghanistan
1997,Afghanistan
1998,Afghanistan
1999,Afghanistan
2000,Afghanistan
1989,Somalia
1990,Somalia
1991,Somalia
1992,Somalia
1993,Somalia
1994,Somalia
1995,Somalia
1996,Somalia
2001,Somalia
2002,Somalia
1979,Equatorial Guinea
1991,Iran (Islamic Republic of)
1992,Iran (Islamic Republic of)
1997,Iran (Islamic Republic of)
1999,Iran (Islamic Republic of)
2000,Iran (Islamic Republic of)
2001,Iran (Islamic Republic of)
2005,Iran (Islamic Republic of)
1979,Saudi Arabia
1980,Liberia
1989,Liberia
1990,Liberia
1991,Liberia
1992,Liberia
1993,Liberia
1994,Liberia
1995,Liberia
2000,Liberia
2001,Liberia
2002,Liberia
2003,Liberia
1980,Spain
1981,Spain
1987,Spain
1991,Spain
1992,Spain
1980,Tunisia
1981,Gambia
1982,India
1983,India
1985,India
1986,India
1988,India
1982,Kenya
1983,Nigeria
1983,Grenada
1983,Sri Lanka
1984,Sri Lanka
1985,Sri Lanka
1986,Sri Lanka
1987,Sri Lanka
1988,Sri Lanka
1991,Sri Lanka
1992,Sri Lanka
1993,Sri Lanka
1994,Sri Lanka
1995,Sri Lanka
1996,Sri Lanka
1997,Sri Lanka
1998,Sri Lanka
1999,Sri Lanka
2000,Sri Lanka
2001,Sri Lanka
2003,Sri Lanka
2005,Sri Lanka
1984,Cameroon
1984,Turkey
1985,Turkey
1986,Turkey
1987,Turkey
1988,Turkey
1989,Turkey
1990,Turkey
2001,Afghanistan
2003,Afghanistan
2004,Afghanistan
2005,Afghanistan
1978,China
1978,Viet Nam
1979,China
1979,Viet Nam
1980,China
1980,Viet Nam
1981,China
1981,Viet Nam
1983,China
1983,Viet Nam
1984,China
1984,Viet Nam
1986,China
1986,Viet Nam
1987,China
1987,Viet Nam
1988,China
1988,Viet Nam
1978,India
1979,India
1980,India
1981,India
1978,Nicaragua
1979,Nicaragua
1981,Nicaragua
1982,Nicaragua
1983,Nicaragua
1984,Nicaragua
1985,Nicaragua
1986,Nicaragua
1987,Nicaragua
1988,Nicaragua
1989,Nicaragua
1978,Somalia
1981,Somalia
1982,Somalia
1983,Somalia
1984,Somalia
1985,Somalia
1986,Somalia
1987,Somalia
1988,Somalia
1991,Turkey
1992,Turkey
1993,Turkey
1994,Turkey
1995,Turkey
1996,Turkey
1997,Turkey
1998,Turkey
1999,Turkey
2000,Turkey
2001,Turkey
2002,Turkey
2003,Turkey
2005,Turkey
2004,Turkey
1985,Burkina Faso
1985,Mali
1986,Lao People's Democratic Republic
1986,Thailand
1987,Lao People's Democratic Republic
1987,Thailand
1988,Lao People's Democratic Republic
1988,Thailand
1986,Suriname
1987,Suriname
1988,Suriname
1986,Togo
1991,Togo
1986,Yemen
1987,Burkina Faso
1989,Comoros
1990,Indonesia
1991,Indonesia
1999,Indonesia
2000,Indonesia
2001,Indonesia
2002,Indonesia
2003,Indonesia
2004,Indonesia
2005,Indonesia
1989,Panama
1989,Papua New Guinea
1990,Papua New Guinea
1992,Papua New Guinea
1993,Papua New Guinea
1994,Papua New Guinea
1995,Papua New Guinea
1996,Papua New Guinea
1989,Romania
1990,Kuwait
1991,Kuwait
1990,Mali
1994,Mali
1992,Niger
1994,Niger
1997,Niger
1990,Rwanda
1991,Rwanda
1992,Rwanda
1993,Rwanda
1994,Rwanda
1997,Rwanda
1998,Rwanda
1999,Rwanda
2000,Rwanda
2001,Rwanda
2002,Rwanda
1990,Senegal
1992,Senegal
1993,Senegal
1995,Senegal
1997,Senegal
1998,Senegal
1999,Senegal
2000,Senegal
2001,Senegal
2003,Senegal
1990,Russian Federation
1991,Russian Federation
1990,Trinidad and Tobago
1991,Djibouti
1992,Djibouti
1993,Djibouti
1994,Djibouti
1999,Djibouti
1991,Georgia
1992,Georgia
1993,Georgia
1989,Haiti
1991,Haiti
2004,Haiti
1991,Sierra Leone
1992,Sierra Leone
1993,Sierra Leone
1994,Sierra Leone
1995,Sierra Leone
1996,Sierra Leone
1997,Sierra Leone
1998,Sierra Leone
1999,Sierra Leone
2000,Sierra Leone
1991,Serbia
1991,Algeria
1992,Algeria
1993,Algeria
1994,Algeria
1995,Algeria
1996,Algeria
1997,Algeria
1998,Algeria
1999,Algeria
2000,Algeria
2001,Algeria
2002,Algeria
2003,Algeria
2004,Algeria
2005,Algeria
2004,Angola
1996,Angola
1997,Angola
1992,Azerbaijan
1993,Azerbaijan
1994,Azerbaijan
2005,Azerbaijan
1992,Bosnia and Herzegovina
1993,Bosnia and Herzegovina
1994,Bosnia and Herzegovina
1995,Bosnia and Herzegovina
1992,Croatia
1993,Croatia
1995,Croatia
1993,Egypt
1994,Egypt
1995,Egypt
1996,Egypt
1997,Egypt
1998,Egypt
2004,Georgia
1992,Republic of Moldova
1992,Tajikistan
1993,Tajikistan
1994,Tajikistan
1995,Tajikistan
1996,Tajikistan
1998,Tajikistan
1995,Azerbaijan
1993,Russian Federation
1994,Mexico
1996,Mexico
1994,Russian Federation
1995,Russian Federation
1996,Russian Federation
1999,Russian Federation
2000,Russian Federation
2001,Russian Federation
2002,Russian Federation
2003,Russian Federation
2004,Russian Federation
2005,Russian Federation
1994,Yemen
1995,Ecuador
1995,Pakistan
1996,Cameroon
1996,Nigeria
1997,Ethiopia
1996,Niger
1997,Comoros
1993,Congo
1994,Congo
1997,Congo
1998,Congo
1999,Congo
2002,Congo
1998,Eritrea
2000,Eritrea
1998,Guinea-Bissau
1999,Guinea-Bissau
1998,Lesotho
1998,Serbia
1999,Serbia
2003,Ethiopia
2000,Uzbekistan
2004,Uzbekistan
2001,Central African Republic
2002,Central African Republic
2001,The former Yugoslav Republic of Macedonia
2001,United States
2002,Afghanistan
2004,Côte d'Ivoire
2002,Côte d'Ivoire
2003,Côte d'Ivoire
2003,Iraq
2005,Thailand
2003,Thailand
2004,Thailand
2004,Nigeria
